model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CBM,10,reserve,2097,18.62,1.156
CBM,10,reserve,2098,18.683,1.16
CBM,10,reserve,2099,18.745,1.164
CBM,10,reserve,2100,18.807,1.168
CBM,12,reserve,2025,320.05,5.537
CBM,12,reserve,2026,326.599,5.65
CBM,12,reserve,2027,333.079,5.762
CBM,12,reserve,2028,339.493,5.873
CBM,12,reserve,2029,345.84,5.983
CBM,12,reserve,2030,352.121,6.092
CBM,12,reserve,2031,358.337,6.199
CBM,12,reserve,2032,364.489,6.306
CBM,12,reserve,2033,370.577,6.411
CBM,12,reserve,2034,376.602,6.515
CBM,12,reserve,2035,382.565,6.618
CBM,12,reserve,2036,388.465,6.72
CBM,12,reserve,2037,394.305,6.821
CBM,12,reserve,2038,400.084,6.921
CBM,12,reserve,2039,405.803,7.02
CBM,12,reserve,2040,411.463,7.118
CBM,12,reserve,2041,417.064,7.215
CBM,12,reserve,2042,422.608,7.311
CBM,12,reserve,2043,428.093,7.406
CBM,12,reserve,2044,433.522,7.5
CBM,12,reserve,2045,438.895,7.593
CBM,12,reserve,2046,444.212,7.685
CBM,12,reserve,2047,449.474,7.776
CBM,12,reserve,2048,454.681,7.866
CBM,12,reserve,2049,459.835,7.955
CBM,12,reserve,2050,464.935,8.043
CBM,12,reserve,2051,469.982,8.131
CBM,12,reserve,2052,474.977,8.217
CBM,12,reserve,2053,479.92,8.303
CBM,12,reserve,2054,484.812,8.387
CBM,12,reserve,2055,489.653,8.471
CBM,12,reserve,2056,494.444,8.554
CBM,12,reserve,2057,499.186,8.636
CBM,12,reserve,2058,503.878,8.717
CBM,12,reserve,2059,508.521,8.797
CBM,12,reserve,2060,513.117,8.877
CBM,12,reserve,2061,517.665,8.956
CBM,12,reserve,2062,522.166,9.033
CBM,12,reserve,2063,526.62,9.111
CBM,12,reserve,2064,531.028,9.187
CBM,12,reserve,2065,535.39,9.262
CBM,12,reserve,2066,539.707,9.337
CBM,12,reserve,2067,543.979,9.411
CBM,12,reserve,2068,548.207,9.484
CBM,12,reserve,2069,552.392,9.556
CBM,12,reserve,2070,556.533,9.628
CBM,12,reserve,2071,560.631,9.699
CBM,12,reserve,2072,564.686,9.769
CBM,12,reserve,2073,568.7,9.839
CBM,12,reserve,2074,572.671,9.907
CBM,12,reserve,2075,576.602,9.975
CBM,12,reserve,2076,580.492,10.043
CBM,12,reserve,2077,584.342,10.109
CBM,12,reserve,2078,588.152,10.175
CBM,12,reserve,2079,591.922,10.24
CBM,12,reserve,2080,595.653,10.305
CBM,12,reserve,2081,599.346,10.369
CBM,12,reserve,2082,603,10.432
CBM,12,reserve,2083,606.617,10.494
CBM,12,reserve,2084,610.196,10.556
CBM,12,reserve,2085,613.738,10.618
CBM,12,reserve,2086,617.243,10.678
CBM,12,reserve,2087,620.712,10.738
CBM,12,reserve,2088,624.145,10.798
CBM,12,reserve,2089,627.542,10.856
CBM,12,reserve,2090,630.904,10.915
CBM,12,reserve,2091,634.232,10.972
