plot_id,plt_cn,eco
20280,65178288010661,50
20280,92276038010661,49
20281,65848099010661,50
20281,65776546010661,52
20281,92276076010661,49
20281,65823326010661,50
20281,65219386010661,52
20282,92349761010661,52
20282,92276193010661,50
20282,68663677010661,50
20283,68726197010661,50
20283,66079206010661,49
20283,65727385010661,48
20284,68799036010661,50
20284,92644421010661,49
20284,65682956010661,50
20285,66075155010661,49
20285,65735997010661,50
20285,65752329010661,50
20286,92644523010661,50
20286,66000956010661,51
20286,65850223010661,50
20286,65736021010661,50
20287,65198412010661,50
20287,65736072010661,50
20287,66001285010661,51
20287,65859451010661,50
20288,92276559010661,50
20288,65736143010661,50
20288,68834150010661,50
20289,65244996010661,51
20289,65335040010661,50
20289,65755062010661,49
20289,65219637010661,52
20290,68689942010661,51
20290,65736215010661,50
20290,92644626010661,49
20291,65750045010661,50
20291,65777646010661,50
20292,65736320010661,50
20292,68684819010661,47
20292,65823259010661,50
20293,68677359010661,50
20293,92312735010661,50
20293,64793961010661,50
20293,65736385010661,50
20294,92277140010661,49
20294,65335194010661,50
20294,92312876010661,50
20295,65963362010661,50
20295,92277275010661,49
20295,65949279010661,51
20296,65855894010661,50
20296,65335469010661,50
20296,68850675010661,50
20296,65736593010661,50
20296,92277369010661,49
20297,65335558010661,50
20297,65796810010661,50
20297,65721547010661,51
20298,64970217010661,50
20298,68850898010661,50
20298,65335638010661,50
20298,92644906010661,50
20299,92277697010661,49
20299,65788472010661,49
20300,65188116010661,50
20300,65184382010661,49
20301,65951546010661,50
20301,66011733010661,50
20301,68693648010661,51
20302,66010817010661,49
20302,65254273010661,50
20302,68852014010661,51
20302,68693707010661,51
20302,64974597010661,50
20303,66011831010661,50
20303,68680305010661,51
20303,65752492010661,50
20303,68847409010661,50
20303,65931995010661,50
20304,68744486010661,51
20304,92257634010661,52
20304,66011917010661,49
20304,65778858010661,50
20305,92278058010661,49
20305,92297558010661,52
20305,65702775010661,50
20305,65847564010661,50
20305,65146722010661,50
20305,65776818010661,52
20306,92278102010661,49
20306,65702872010661,50
20306,66011966010661,50
20306,65776892010661,52
20307,68741639010661,50
20307,92645029010661,49
20307,66012083010661,50
20307,92297664010661,52
20308,66012169010661,50
20308,68857387010661,50
20308,68835689010661,50
20308,92654101010661,49
20308,68805795010661,50
20308,65806953010661,51
20309,92278439010661,49
20309,65786015010661,49
20309,65349003010661,49
20309,66085173010661,48
20309,65703192010661,50
20310,92257716010661,52
20310,65208515010661,49
20311,65703363010661,50
20311,65768315010661,50
20311,65830305010661,51
20311,92634374010661,52
20312,65083259010661,50
20312,66012423010661,50
20313,68837427010661,47
20313,65703443010661,50
20314,66012496010661,50
20314,68772425010661,49
20314,64746679010661,51
20314,92278819010661,49
20314,65703508010661,50
20314,92354943010661,50
20314,65768213010661,51
20315,65307291010661,50
20315,65703609010661,50
20315,92645114010661,49
20315,64814864010661,50
20315,65781015010661,51
20315,66012630010661,50
20316,65801937010661,50
20316,65703771010661,50
20317,65850277010661,50
20317,65703917010661,50
20318,68872860010661,49
20318,92645188010661,49
20318,65779572010661,50
20318,66012843010661,50
20319,66057222010661,48
20319,66012919010661,50
20320,68886376010661,50
20320,92257884010661,52
20322,92257920010661,52
20322,65145699010661,50
20322,65969927010661,50
20323,68700531010661,50
20323,65216003010661,49
20323,66061922010661,50
20324,92279625010661,49
20324,66062040010661,50
20324,65950857010661,50
20325,92279665010661,49
20325,65863697010661,52
20326,66062217010661,50
20326,65250611010661,48
20326,65969803010661,51
20327,65985726010661,50
20327,66084000010661,50
